,teamID,seasons,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
164,9850,2009/2010,65,33,70,70,70,55,60,70,70
165,9850,2012/2013,56.16666667,33,62,52.83333333,66.33333333,53.33333333,42,49.83333333,52.5
166,9850,2011/2012,63,33,61,42,76,62,40,50,42
167,9850,2013/2014,70,33,70,56,67,48,40,43,53
168,9817,2014/2015,61,43,56,54,44,55,38,52,45
169,9817,2015/2016,61,32,52,54,42,45,38,52,45
170,9817,2010/2011,64,37.5,53,67,67,48,44,47,66
171,9817,2008/2009,64.83333333,37.5,57,55.83333333,53.5,54.33333333,46,53.83333333,51.83333333
172,9817,2009/2010,70,37.5,70,70,70,65,70,70,65
173,9817,2012/2013,64.83333333,37.5,57,55.83333333,53.5,54.33333333,46,53.83333333,51.83333333
174,9817,2011/2012,66,37.5,66,45,60,60,48,50,45
175,9817,2013/2014,67,37.5,45,45,38,53,38,52,45
184,8602,2014/2015,47,28,58,55,64,56,47,48,52
185,8602,2015/2016,46,36,54,55,47,48,47,48,55
186,8602,2010/2011,55,32,55,60,60,45,45,45,50
187,8602,2008/2009,58,32,61,54,63.66666667,55.16666667,49.83333333,53.16666667,54
188,8602,2009/2010,70,32,70,70,70,70,70,70,70
189,8602,2012/2013,58,32,61,54,63.66666667,55.16666667,49.83333333,53.16666667,54
190,8602,2011/2012,67,32,68,42,68,56,48,60,45
191,8602,2013/2014,63,32,61,42,73,56,42,48,52
192,8658,2014/2015,56,39,79,77,71,56,42,48,54
193,8658,2015/2016,56,32,75,77,62,64,42,47,54
194,8658,2010/2011,45,35.5,60,35,50,40,30,60,45
195,8658,2008/2009,55.66666667,35.5,66,57.5,64.33333333,54.5,44.66666667,52.83333333,55.16666667
196,8658,2009/2010,70,35.5,70,70,70,70,70,70,70
197,8658,2012/2013,55.66666667,35.5,66,57.5,64.33333333,54.5,44.66666667,52.83333333,55.16666667
198,8658,2011/2012,51,35.5,55,41,62,56,42,48,54
199,8658,2013/2014,56,35.5,57,45,71,41,42,44,54
200,9879,2014/2015,52,34,56,58,41,54,29,28,39
201,9879,2015/2016,52,34,48,39,54,59,29,30,39
202,9879,2010/2011,50,34,55,45,55,40,45,35,50
203,9879,2008/2009,52.33333333,34,53.83333333,49.83333333,56.33333333,52.66666667,36.66666667,34.16666667,47.83333333
204,9879,2009/2010,60,34,70,70,70,50,40,35,40
205,9879,2012/2013,52.33333333,34,53.83333333,49.83333333,56.33333333,52.66666667,36.66666667,34.16666667,47.83333333
206,9879,2011/2012,48,34,45,38,62,54,38,38,62
207,9879,2013/2014,52,34,49,49,56,59,39,39,57
208,8655,2014/2015,44,31,62,63,61,40,50,50,47
209,8655,2015/2016,60,60,65,59,58,42,50,50,57
210,8655,2010/2011,55,45.5,65,50,50,35,45,60,55
211,8655,2008/2009,52.5,45.5,63.83333333,57,56,42,45.66666667,55,46.66666667
212,8655,2009/2010,55,45.5,70,60,70,55,45,70,45
213,8655,2012/2013,52.5,45.5,63.83333333,57,56,42,45.66666667,55,46.66666667
214,8655,2011/2012,57,45.5,57,55,45,40,42,50,38
215,8655,2013/2014,44,45.5,64,55,52,40,42,50,38
216,8559,2014/2015,57,37,73,72,43,56,39,48,58
217,8559,2015/2016,57,34,61,72,60,38,39,48,58
218,8559,2010/2011,45,45.5,70,55,70,50,40,55,50
219,8559,2008/2009,54.66666667,35.5,63.83333333,59.33333333,55.83333333,49.5,40,52.83333333,52.83333333
220,8559,2009/2010,55,45.5,70,70,70,45,35,70,35
221,8559,2012/2013,54.66666667,35.5,63.83333333,59.33333333,55.83333333,49.5,40,52.83333333,52.83333333
222,8559,2011/2012,57,45.5,56,45,54,54,48,48,58
223,8559,2013/2014,57,45.5,53,42,38,54,39,48,58
224,8528,2014/2015,51,36,51,52,55,57,62,57,44
225,8528,2015/2016,51,37,56,52,59,40,62,48,44
226,8528,2010/2011,35,36.5,50,45,65,50,45,55,65
227,8528,2008/2009,47.16666667,36.5,50.66666667,52.66666667,55.5,45.5,50,54,46
228,8528,2009/2010,70,36.5,70,70,70,50,35,70,35
229,8528,2012/2013,47.16666667,36.5,50.66666667,52.66666667,55.5,45.5,50,54,46
230,8528,2011/2012,38,36.5,38,54,42,42,40,42,44
231,8528,2013/2014,38,36.5,39,43,42,34,56,52,44
232,8483,2014/2015,67,44,72,70,48,58,39,38,54
233,8483,2015/2016,62,36,64,59,43,64,39,38,54
234,8483,2010/2011,70,40,30,65,30,65,45,50,45
235,8483,2008/2009,59.83333333,40,56.66666667,64,51.16666667,61.33333333,48.5,50,55.16666667
236,8483,2009/2010,70,40,70,70,70,65,70,70,70
237,8483,2012/2013,59.83333333,40,56.66666667,64,51.16666667,61.33333333,48.5,50,55.16666667
238,8483,2011/2012,45,40,52,60,58,58,49,52,54
239,8483,2013/2014,45,40,52,60,58,58,49,52,54
240,8549,2014/2015,60,28,56,49,56,72,38,42,42
241,8549,2015/2016,60,32,46,43,55,37,38,42,42
242,8549,2010/2011,66,30,51,64,64,48,54,44,49
243,8549,2008/2009,62.66666667,30,55.83333333,51,59.5,56,39.33333333,47,42.83333333
244,8549,2009/2010,70,30,70,70,70,50,30,70,30
245,8549,2012/2013,62.66666667,30,55.83333333,51,59.5,56,39.33333333,47,42.83333333
246,8549,2011/2012,60,30,72,40,56,72,38,42,42
247,8549,2013/2014,60,30,40,40,56,57,38,42,52
248,8462,2014/2015,59,32,57,49,47,53,39,40,44
249,8462,2015/2016,59,32,57,49,47,53,39,40,44
250,8462,2010/2011,36,32,48,48,66,51,36,44,48
251,8462,2008/2009,59.33333333,32,58.83333333,49.33333333,53.16666667,54,42,49.33333333,44
252,8462,2009/2010,70,32,70,70,70,55,40,70,40
253,8462,2012/2013,59.33333333,32,58.83333333,49.33333333,53.16666667,54,42,49.33333333,44
254,8462,2011/2012,64,32,59,40,42,56,49,51,44
255,8462,2013/2014,68,32,62,40,47,56,49,51,44
256,9798,2014/2015,44,26,72,71,39,37,58,52,52
257,9798,2015/2016,44,36,64,62,65,42,51,47,52
258,9798,2010/2011,49,31,36,57,73,55,49,31,67
259,9798,2008/2009,50.83333333,31,58.66666667,60.16666667,60.5,49.5,52.66666667,47.5,56.33333333
260,9798,2009/2010,70,31,70,70,70,70,70,60,70
261,9798,2012/2013,50.83333333,31,58.66666667,60.16666667,60.5,49.5,52.66666667,47.5,56.33333333
262,9798,2011/2012,49,31,49,46,58,56,49,51,45
263,9798,2013/2014,49,31,61,55,58,37,39,44,52
264,8344,2014/2015,60,29,54,52,46,41,33,41,39
265,8344,2015/2016,60,41,67,52,56,46,33,41,39
266,8344,2010/2011,67,35,49,67,67,48,46,47,53
267,8344,2008/2009,62,35,62.16666667,58.16666667,57.33333333,53.5,46,47.5,52.16666667
268,8344,2009/2010,65,35,70,70,70,70,70,70,70
269,8344,2012/2013,62,35,62.16666667,58.16666667,57.33333333,53.5,46,47.5,52.16666667
270,8344,2011/2012,60,35,64,54,46,54,47,43,56
271,8344,2013/2014,60,35,69,54,59,62,47,43,56
272,8678,2012/2013,47,40,47.5,54,46.5,49.5,48,50,62
273,8678,2008/2009,47,40,47.5,54,46.5,49.5,48,50,62
274,8678,2009/2010,70,40,70,70,70,60,70,70,70
275,8678,2010/2011,51,40,66,68,33,47,27,46,48
276,8678,2011/2012,46,40,46,54,60,52,48,50,62
277,8678,2013/2014,39,40,38,54,43,52,48,50,62
278,8678,2014/2015,47,44,48,46,48,41,48,50,62
279,8678,2015/2016,47,36,47,49,45,47,48,50,62
